date,timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,returns,sma_20,sma_50,ema_12,ema_26,macd,signal,rsi,bollinger_upper,bollinger_middle,bollinger_lower,atr
2024-01-13,1705104000000,42782.74,43257.0,42436.12,42847.99,36118.47464,1705190399999,1547370611.55316620,1434243,17748.09824000,760432218.24545510,0,BTC,0.0015253818538460973,43920.9315,42490.4732,44378.19093704405,43717.62679822549,660.5641388185613,848.9054428346577,52.39417503448958,47019.50496579954,43920.9315,40822.35803420046,2504.2600000000007
2024-01-14,1705190400000,42847.99,43079.0,41720.0,41732.35,28228.40894,1705276799999,1202212782.25769300,1235727,13690.30843000,583261659.73857610,0,BTC,-0.0260371606696137,43828.7425,42569.506799999996,43971.13848519112,43570.5692576162,400.5692275749243,759.238199782711,48.25030456121283,47076.62514330912,43828.7425,40580.859856690884,2534.6771428571433
2024-01-15,1705276800000,41732.35,43400.43,41718.05,42511.1,40269.89303,1705363199999,1718982911.10810270,1657611,19924.76030000,849997411.08758290,0,BTC,0.018660583456239666,43828.850999999995,42670.78020000001,43746.517179777096,43492.09005334833,254.42712642876722,658.2759851119223,44.299775537326724,47076.5481402282,43828.850999999995,40581.15385977179,2511.7521428571426
2024-01-16,1705363200000,42511.1,43578.01,42050.0,43137.95,45045.74589,1705449599999,1931947150.05907020,1716580,24064.55667000,1031525441.93520850,0,BTC,0.014745560571238991,43814.306,42788.68519999999,43652.891459811384,43465.85745680401,187.0340030073712,564.0275886910122,43.75981410803036,47072.13581190565,43814.306,40556.47618809434,2497.2321428571427
2024-01-17,1705449600000,43137.94,43198.0,42200.69,42776.1,33266.21388,1705535999999,1419888430.92288920,1438172,16648.20529000,710532768.04757790,0,BTC,-0.008388205744593757,43824.922999999995,42887.82979999999,43518.00046599425,43414.764311855564,103.23615413868538,471.86930178054683,49.72899994590189,47066.93873529123,43824.922999999995,40582.90726470876,2229.182857142857
2024-01-18,1705536000000,42776.09,42930.0,40683.28,41327.5,43907.51641,1705622399999,1839426541.26357900,1466087,21085.14336000,883292634.20636370,0,BTC,-0.0338647048234878,43787.9505,42957.287000000004,43181.00039430283,43260.15214060701,-79.15174630418187,361.6650921636011,39.05355677992516,47129.71104732849,43787.9505,40446.189952671506,2238.533571428571
2024-01-19,1705622400000,41327.51,42196.86,40280.0,41659.03,48342.74559,1705708799999,1993846466.53875190,1641428,24347.50020000,1004478721.37920550,0,BTC,0.008022019236585853,43763.888,43035.98840000001,42946.851102871624,43141.55050056204,-194.69939769041957,250.39219419279698,40.59932480669868,47162.05720461316,43763.888,40365.71879538684,2239.2049999999995
2024-01-20,1705708800000,41659.03,41872.56,41456.3,41696.04,15923.99493,1705795199999,662768008.15093430,807324,7557.36632000,314535141.99556360,0,BTC,0.0008884028264701804,43734.511,43096.258799999996,42754.41862550676,43034.47564866856,-280.0570231617967,144.30235072187827,41.31597251415948,47196.12925995242,43734.511,40272.89274004758,2210.5542857142855
2024-01-21,1705795200000,41696.05,41881.39,41500.98,41580.33,11730.16301,1705881599999,489151571.03090430,657817,5576.56045000,232552207.16073290,0,BTC,-0.00277508367701107,43604.55,43138.8584,42573.78960619803,42926.761156174594,-352.97154997656617,44.84757058218938,41.076073501217,47188.812193258076,43604.55,40020.28780674193,2172.833571428571
2024-01-22,1705881600000,41580.32,41689.65,39431.58,39568.02,55426.19911,1705967999999,2247452153.79543270,2147250,26788.13985000,1086650848.06705250,0,BTC,-0.048395719803089654,43335.6055,43130.77359999999,42111.36351293679,42677.96551497647,-566.6020020396827,-77.44234394218503,19.616701509489815,47284.435164657785,43335.6055,39386.77583534221,2043.1249999999995
